category,subcategory,name,type,defaults,recommendation,range,context,docs,comments
Resource Usage,Memory,work_mem,integer,1MB,( AvRAM / max_connections ) OR ( AvRAM / 2 * max_connections ),64kB to 2147483647kB,user,Sets the maximum memory to be used for query workspaces.,"Sets the limit for the amount of non-shared RAM available for each query operation, including sorts and hashes.  This limit acts as a primitive resource control, preventing the server from going into swap due to overallocation.  Note that this is non-shared RAM per operation, which means large complex queries can use multple times this amount.  Also, work_mem is allocated by powers of two, so round to the nearest binary step.  The second formula is for reporting and DW servers which run a lot of complex queries."
Resource Usage,Kernel Resources,max_files_per_process,integer,1000,default,25 to 2147483647,postmaster,Sets the maximum number of simultaneously open files for each server process.,"If you have a large database with many partitioned tables, you may want to increase this.  Note that you will probably have to increase ulimits for the postgres user or system as well."
Resource Usage,Kernel Resources,max_stack_depth,memory,2MB,default,100kB to 2147483647kB,superuser,"Sets the maximum stack depth, in kilobytes.",Increase this if you have experienced the relevant error.
Resource Usage,Kernel Resources,shared_preload_libraries,string,,default,,postmaster,Lists shared libraries to preload into server.,"Primarily used for custom C libraries (data types, stored procedures) which you expect your application to use heavily.  Trades memory overhead for these libraries against load time, so really should only be used for libraries you expect most queries to require."
Resource Usage,Disk,temp_file_limit,memory,-1 (disabled),10GB,-1kB to 2147483647kB,superuser,Limits the total size of all temporary files used by each process.,"… or something which is bigger than your largest possible sort, but not big enough to run you out of disk space."
WAL and Checkpoints,Settings,max_wal_size,memory,1GB,default,2MB to 2147483647MB,sighup,Sets the WAL size that triggers a checkpoint.,"… except for databases that write more than 1GB/hour of data, in which case increase the size of the log so that it's at least an hour worth of logs"
WAL and Checkpoints,Settings,min_wal_size,memory,80MB,default,2MB to 2147483647MB,sighup,Sets the minimum size to shrink the WAL to.,
WAL and Checkpoints,Settings,wal_compression,bool,off,on,,superuser,Compresses full-page writes written in WAL file.,… unless your storage is less constrained than your CPU.
WAL and Checkpoints,Settings,wal_log_hints,,off,off,,postmaster,"Writes full pages to WAL when first modified after a checkpoint, even for a non-critical modifications.",
WAL and Checkpoints,Archiving,archive_command,string,(disabled),varies,,sighup,Sets the shell command that will be called to archive a WAL file.,All of the Archiving settings are part of a Point In Time Recovery or Warm Standby configuration.  Please see the Backup and Restore section for more information.
WAL and Checkpoints,Archiving,archive_mode,bool,off,varies,"always,on,off",postmaster,Allows archiving of WAL files using archive_command.,"Requires a restart to change, so if you want to turn archiving on and off, set this to 'on' and change archive_command instead.  Even better, set archive_command to a script which can be disabled by trigger or ENV variable."
WAL and Checkpoints,Archiving,archive_timeout,integer,0,varies,0s to 1073741823s,sighup,Forces a switch to the next WAL file if a new file has not been started within N seconds.,Dependant on your tradeoff between disk space and letting the standby get behind.
WAL and Checkpoints,Memory,wal_buffers,memory,-1 auto,default,-18kB to 2621438kB,postmaster,Sets the number of disk-page buffers in shared memory for WAL.,"On very busy, high-core machines it can be useful to raise this to as much as 128MB."
WAL and Checkpoints,Synch to Disk,backend_flush_after,memory,0,default,08kB to 2568kB,user,Number of pages after which previously performed writes are flushed to disk.,Unless you have time to tune memory flushing behavior and test for improvements/regressions
WAL and Checkpoints,Synch to Disk,fsync,bool,on,on,,sighup,Forces synchronization of updates to disk.,"Never turn off unless your data is entirely disposable.  Setting fsync=off is the equivalent of saying “I don't care about my data, I can recreate the database from scratch if I have to.”  If synch activity is a performance concern, see synchronous_commit."
WAL and Checkpoints,Synch to Disk,full_page_writes,bool,on,on,,sighup,Writes full pages to WAL when first modified after a checkpoint.,"This is PostgreSQL's triple-check on transaction log integrity.  Leave it on unless you have enough in-depth knowledge of your filesystem and hardware to be certain that torn page writes of log segments are completely prevented.  Solaris/ZFS users claim to be able to turn this off, but that has not been destruction-tested."
WAL and Checkpoints,Synch to Disk,synchronous_commit,bool,on,on,"local,remote_write,remote_apply,on,off",user,Sets the current transaction's synchronization level.,"If data integrity is less important to you than response times (for example, if you are running a social networking application or processing logs) you can turn this off, making your transaction logs asynchronous.  This can result in up to wal_buffers or wal_writer_delay * 2 worth of data in an unexpected shutdown, but your database will not be corrupted.  Note that you can also set this on a per-session basis, allowing you to mix “lossy” and “safe” transactions, which is a better approach for most applications."
WAL and Checkpoints,Synch to Disk,wal_sync_method,string,OS-dependent,default,"fsync,fdatasync,open_sync,open_datasync",sighup,Selects the method used for forcing WAL updates to disk.,"On install, PostgreSQL figures out the best method for your OS.  It's pretty good at this point; don't change the default.  Note that the value of ""fsync"" shown in your postgresql.conf file is not necessarily the setting the server is using; try SHOW instead."
WAL and Checkpoints,Synch to Disk,wal_writer_delay,integer,200,default,1ms to 10000ms,sighup,Time between WAL flushes performed in the WAL writer.,"Defines the maximum data (in time) that can be lost if synchronous_commit=off and the database shuts down.  Because of long transactions, actual data lost can be up to twice this time.  Has no effect if synchronous_commit=on.  If you are going to turn synchronous_commit=off server-wide, you should probably lower this to prevent too much data loss."
WAL and Checkpoints,Synch to Disk,wal_writer_flush_after,memory,1MB,default,08kB to 21474836478kB,sighup,Amount of WAL written out by WAL writer that triggers a flush.,
WAL and Checkpoints,Commit Settings,commit_delay,integer,0,0,0 to 100000,superuser,Sets the delay in microseconds between transaction commit and flushing WAL to disk.,A primitive form of group commit without asynchronicity.  Performance testing of this is very mixed; only set to non-zero if you have time to test the specific performance impact on your workload.  Reasonable values are 200 to 1000.
WAL and Checkpoints,Commit Settings,commit_siblings,integer,5,1,0 to 1000,user,Sets the minimum concurrent open transactions before performing commit_delay.,See commit_delay.  Reasonable values are 3 to 8
WAL and Checkpoints,Checkpoints,checkpoint_completion_target,real,1,default,0 to 1,sighup,"Time spent flushing dirty buffers during checkpoint, as fraction of checkpoint interval.",Defines the fraction of one checkpoint_interval over which to spread checkpoints. The default value works for most users.
WAL and Checkpoints,Checkpoints,checkpoint_flush_after,memory,256kB,default,08kB to 2568kB,sighup,Number of pages after which previously performed writes are flushed to disk.,Unless you have time to tune memory flushing behavior and test for improvements/regressions
WAL and Checkpoints,Checkpoints,checkpoint_timeout,integer,300,default,30s to 86400s,sighup,Sets the maximum time between automatic WAL checkpoints.,"If you do really large ETL batches, you may want to increase this setting to the maximum length of a batch run."
WAL and Checkpoints,Checkpoints,checkpoint_warning,integer,30,default,0s to 2147483647s,sighup,Enables warnings if checkpoint segments are filled more frequently than this.,
WAL and Checkpoints,Background Writer,bgwriter_delay,time,200,default,10ms to 10000ms,sighup,Background writer sleep time between rounds.,"Thanks to bgwriter autotuning, it should no longer be necessary for most users to touch the bgwriter settings.  Only modify these if you have a demonstrated issue shown by checkpoint spikes and monitoring pg_stat_bgwriter.  Laptop PostgreSQL users may want to increase bgwriter_delay to 60s to decrease I/O activity, since it is no longer possible to turn the bgwriter off."
WAL and Checkpoints,Background Writer,bgwriter_flush_after,memory,512kB,default,08kB to 2568kB,sighup,Number of pages after which previously performed writes are flushed to disk.,Unless you have time to tune memory flushing behavior and test for improvements/regressions
WAL and Checkpoints,Background Writer,bgwriter_lru_maxpages,integer,100,default,0 to 1073741823,sighup,Background writer maximum number of LRU pages to flush per round.,
WAL and Checkpoints,Background Writer,bgwriter_lru_multiplier,real,2,default,0 to 10,sighup,Multiple of the average buffer usage to free per round.,
Replication,Master Options,max_replication_slots,integer,10,max replicas * 2,0 to 262143,postmaster,Sets the maximum number of simultaneously defined replication slots.,Set to twice as many replicas as you ever expect to have.
Replication,Master Options,max_wal_senders,integer,10,"Max replicas you expect to have, doubled",0 to 262143,postmaster,Sets the maximum number of simultaneously running WAL sender processes.,"If you are replicating, you want to set this to the maximum number of standby servers you might possibly have.  Performance impact when set above zero, but no additional penalty for setting it higher."
Replication,Master Options,synchronous_standby_names,string,NULL,default,,sighup,Number of synchronous standbys and list of names of potential synchronous ones.,"Special, see syntax for sync standby config.  Don't get into this if you're not sure what you're doing."
Replication,Master Options,track_commit_timestamp,bool,off,on,,postmaster,Collects transaction commit time.,
Replication,Master Options,vacuum_defer_cleanup_age,integer,0,0,0 to 1000000,sighup,"Number of transactions by which VACUUM and HOT cleanup should be deferred, if any.",No longer effective thanks to hot_standby_feedback.
Replication,Master Options,wal_keep_segments,integer,0,8 to 128,0 to 2147483647,sighup,Sets the number of WAL files held for standby servers.,"… if using replication.  Minimum number of WAL log segments to keep in order to support re-synchronizing streaming standby servers which have fallen behind or for an initial sync, a good rule of thumb is 4, or however many segments you go through in 30s, whichever is higher. This is in addition to max_wal_size, so make sure you have enough disk space.  Not required if you are archiving logs."
Replication,Master Options,wal_level,enum,replica,replica or logical,"minimal,replica,logical",postmaster,Set the level of information written to the WAL.,"Level replica is required for binary replication, and level logical is required for logical replication.  This is a setting because raising the level adds more writes to the WAL, so if you’re not doing replication or archiving at all, set it to minimal."
Replication,Master Options,wal_sender_timeout,time,60sec,default,0ms to 2147483647ms,sighup,Sets the maximum time to wait for WAL replication.,
Replication,Standby Options,hot_standby,bool,on,on,,postmaster,Allows connections and queries during recovery.,"Set to “on”, unless you want to specifically prohibit people from running queries on a standby server."
Replication,Standby Options,hot_standby_feedback,bool,off,on,,sighup,Allows feedback from a hot standby to the primary that will avoid query conflicts.,Helps avoid query cancel on the replicas in most cases.  Turn it off for a replica which does long-running reports and is allowed to lag.
Replication,Standby Options,max_logical_replication_workers,integer,4,default,0 to 262143,postmaster,Maximum number of logical replication worker processes.,… unless logical replication is falling behind and the replica isn't handling other traffic
Replication,Standby Options,max_standby_archive_delay,integer,30000,,-1ms to 2147483647ms,sighup,Sets the maximum delay before canceling queries when a hot standby server is processing archived WAL data.,"If you are replicating primarily for failover, set this to a very low value (like 0) in order to keep the standby as up to date as possible.  If this standby is running queries as its primary role, set to the length of time of the longest-running query you want to allow."
Replication,Standby Options,max_standby_streaming_delay,integer,30000,,-1ms to 2147483647ms,sighup,Sets the maximum delay before canceling queries when a hot standby server is processing streamed WAL data.,"If you are replicating primarily for failover, set this to a very low value (like 0) in order to keep the standby as up to date as possible.  If this standby is running queries as its primary role, set to the length of time of the longest-running query you want to allow."
Replication,Standby Options,max_sync_workers_per_subscription,integer,2,default,0 to 262143,sighup,Maximum number of table synchronization workers per subscription.,Consider raising to cores/2 when initially synchronizing logical replication for a new replica.
Replication,Standby Options,wal_receiver_status_interval,time,10sec,default,0s to 2147483s,sighup,Sets the maximum interval between WAL receiver status reports to the primary.,
Replication,Standby Options,wal_receiver_timeout,time,60sec,default,0ms to 2147483647ms,sighup,Sets the maximum wait time to receive data from the primary.,
Replication,Standby Options,wal_retrieve_retry_interval,time,5sec,default,1ms to 2147483647ms,sighup,Sets the time to wait before retrying to retrieve WAL after a failed attempt.,
Query Tuning,Planner Cost Constants,cpu_index_tuple_cost,real,0.005,0.001,0 to 1.79769e+308,user,Sets the planner's estimate of the cost of processing each index entry during an index scan.,Decrease this slightly to make your database favor indexes slightly more.
Query Tuning,Planner Cost Constants,cpu_operator_cost,real,0.0025,0.0005,0 to 1.79769e+308,user,Sets the planner's estimate of the cost of processing each operator or function call.,Decrease this slightly to make your database favor indexes slightly more.
Query Tuning,Planner Cost Constants,cpu_tuple_cost,real,0.01,default,0 to 1.79769e+308,user,Sets the planner's estimate of the cost of processing each tuple (row).,
Query Tuning,Planner Cost Constants,effective_cache_size,integer,65536,( AvRAM * 0.75 ),18kB to 21474836478kB,user,Sets the planner's assumption about the size of the disk cache.,"Tells the PostgreSQL query planner how much RAM is estimated to be available for caching data, in both shared_buffers and in the filesystem cache. This setting just helps the planner make good cost estimates; it does not actually allocate the memory."
Query Tuning,Planner Cost Constants,random_page_cost,real,4,default,0 to 1.79769e+308,user,Sets the planner's estimate of the cost of a nonsequentially fetched disk page.,"Sets the ratio of seek to scan time for your database storage.  Should not be altered unless you're using special storage (SSDs, high end SANs, etc.) where seek/scan ratios are actually different.  If you need the database to favor indexes more, tune effective_cache_size and some of the cpu_* costs instead."
Query Tuning,Planner Cost Constants,seq_page_cost,real,1,default,0 to 1.79769e+308,user,Sets the planner's estimate of the cost of a sequentially fetched disk page.,The main reason to modify seq_page_cost is to try to get planner costs to more-or-less indicate execution times in milleseconds.  All other costs change relative to this cost automatically.
Query Tuning,Planner Method Configuration,enable_bitmapscan,bool,on,default,,user,Enables the planner's use of bitmap-scan plans.,For interactive session use only when troubleshooting queries.
Query Tuning,Planner Method Configuration,enable_gathermerge,bool,on,default,,user,Enables the planner's use of gather merge plans.,
Query Tuning,Planner Method Configuration,enable_hashagg,bool,on,default,,user,Enables the planner's use of hashed aggregation plans.,For interactive session use only when troubleshooting queries.
Query Tuning,Planner Method Configuration,enable_hashjoin,bool,on,default,,user,Enables the planner's use of hash join plans.,For interactive session use only when troubleshooting queries.
Query Tuning,Planner Method Configuration,enable_indexonlyscan,bool,on,default,,user,Enables the planner's use of index-only-scan plans.,
Query Tuning,Planner Method Configuration,enable_indexscan,bool,on,default,,user,Enables the planner's use of index-scan plans.,For interactive session use only when troubleshooting queries.
Query Tuning,Planner Method Configuration,enable_material,bool,on,default,,user,Enables the planner's use of materialization.,For interactive session use only when troubleshooting queries.
Query Tuning,Planner Method Configuration,enable_mergejoin,bool,on,default,,user,Enables the planner's use of merge join plans.,For interactive session use only when troubleshooting queries.
Query Tuning,Planner Method Configuration,enable_nestloop,bool,on,default,,user,Enables the planner's use of nested-loop join plans.,For interactive session use only when troubleshooting queries.
Query Tuning,Planner Method Configuration,enable_seqscan,bool,on,default,,user,Enables the planner's use of sequential-scan plans.,For interactive session use only when troubleshooting queries.
Query Tuning,Planner Method Configuration,enable_sort,bool,on,default,,user,Enables the planner's use of explicit sort steps.,For interactive session use only when troubleshooting queries.
Query Tuning,Planner Method Configuration,enable_tidscan,bool,on,default,,user,Enables the planner's use of TID scan plans.,For interactive session use only when troubleshooting queries.
Query Tuning,Genetic Query Optimizer,geqo,bool,on,default,,user,Enables genetic query optimization.,
Query Tuning,Genetic Query Optimizer,geqo_effort,integer,5,default,1 to 10,user,GEQO: effort is used to set the default for other GEQO parameters.,
Query Tuning,Genetic Query Optimizer,geqo_generations,integer,0,default,0 to 2147483647,user,GEQO: number of iterations of the algorithm.,
Query Tuning,Genetic Query Optimizer,geqo_pool_size,integer,0,default,0 to 2147483647,user,GEQO: number of individuals in the population.,
Query Tuning,Genetic Query Optimizer,geqo_seed,real,0,,0 to 1,user,GEQO: seed for random path selection.,"If you set this manually, you can force repeatable execution paths for GEQO queries."
Query Tuning,Genetic Query Optimizer,geqo_selection_bias,real,2,default,1.5 to 2,user,GEQO: selective pressure within the population.,
Query Tuning,Genetic Query Optimizer,geqo_threshold,integer,12,15,2 to 2147483647,user,Sets the threshold of FROM items beyond which GEQO is used.,"With new, faster processors it's tempting to raise the geqo_threshold a little, such as to 16 or 18.  Increasing more than that is unwise as query planning time goes up geometrically."
Query Tuning,Parallel Query,force_parallel_mode,ENUM,off,default,"off,on,regress",user,Forces use of parallel query facilities.,
Query Tuning,Parallel Query,max_parallel_workers_per_gather,integer,2,increase,0 to 1024,user,Sets the maximum number of parallel processes per executor node.,"Increase if you plan to use parallel query to 4 or 8, depending on cores/concurrent sessions. "
Query Tuning,Parallel Query,min_parallel_index_scan_size,memory,512kB,default,08kB to 7158278828kB,user,Sets the minimum amount of index data for a parallel scan.,
Query Tuning,Parallel Query,min_parallel_table_scan_size,memory,8MB,default,08kB to 7158278828kB,user,Sets the minimum amount of table data for a parallel scan.,"… , unless doing IoT or a read-only database.  Raise to 100MB or so if your traffic on the database is very bursty, to prevent the WAL from shrinking too much."
Query Tuning,Parallel Query,parallel_setup_cost,real,1000,default,0 to 1.79769e+308,user,Sets the planner's estimate of the cost of starting up worker processes for parallel query.,
Query Tuning,Parallel Query,parallel_tuple_cost,real,0.1,default,0 to 1.79769e+308,user,Sets the planner's estimate of the cost of passing each tuple (row) from worker to master backend.,
Query Tuning,Other Planner Options,constraint_exclusion,bool,partiton,default,"partition,on,off",user,Enables the planner to use constraints to optimize queries.,"Default of “partition” is fine for most users.  Setting it to “on” can allow optimization of UNION queries as well, but deserves testing before production deployment."
Query Tuning,Other Planner Options,cursor_tuple_fraction,real,0,,0 to 1,user,Sets the planner's estimate of the fraction of a cursor's rows that will be retrieved.,Increase this to 0.9 if most of the time you're using cursors to step through all of the rows of a query result.
Query Tuning,Other Planner Options,default_statistics_target,integer,100,varies,1 to 10000,user,Sets the default statistics target.,"Most applications can use the default of 100.    For very small/simple databases, decrease to 10 or 50.  Data warehousing applications generally need to use 500 to 1000.  Otherwise, increase statistics targets on a per-column basis."
Query Tuning,Other Planner Options,effective_io_concurrency,integer,1,varies,0 to 1000,user,Number of simultaneous requests that can be handled efficiently by the disk subsystem.,"Set to the number of disks in your RAID array or number of I/O channels.  Available only for platforms with posix_fadvise support (i.e. Linux).  Currently only affects the execution of parallel bitmapscan, but might affect other I/O operations in future versions."
Query Tuning,Other Planner Options,from_collapse_limit,integer,8,default,1 to 2147483647,user,Sets the FROM-list size beyond which subqueries are not collapsed.,"While it's probably true that newer CPUs could support higher collapse_limits, there's not much incremental benefit to just raising either collapse_limit to 10 or 11."
Query Tuning,Other Planner Options,join_collapse_limit,integer,8,default,1 to 2147483647,user,Sets the FROM-list size beyond which JOIN constructs are not flattened.,"If for some reason you wanted to explicitly declare the join order for all of your queries, you could set this to 1.  That is not recommended, though."
Query Tuning,Other Planner Options,replacement_sort_tuples,integer,150000,0,0 to 2147483647,user,Sets the maximum number of tuples to be sorted using replacement selection.,"Disable, this setting will be removed from Postgres 11."
Statistics,Monitoring,log_executor_stats,bool,off,default,,superuser,Writes executor performance statistics to the server log.,Used for profiling the query executor.
Statistics,Monitoring,log_parser_stats,bool,off,default,,superuser,Writes parser performance statistics to the server log.,Used for profiling the query parser.
Statistics,Monitoring,log_planner_stats,bool,off,default,,superuser,Writes planner performance statistics to the server log.,Used for profiling the query planner.
Statistics,Monitoring,log_statement_stats,bool,off,default,,superuser,Writes cumulative performance statistics to the server log.,Used for full query path profiling.  Exclusive of the other three options.
Statistics,Query and Index Statistics Collector,stats_temp_directory,string,pg_stat_tmp,default,,sighup,Writes temporary statistics files to the specified directory.,Useful for extremely high-volume databases; the stats temp directory could be set to a RAMdisk or other high-speed resource (at the cost of potentially losing some stats) as this file gets updated hundreds of times per second.  
Statistics,Query and Index Statistics Collector,track_activities,bool,on,default,,superuser,Collects information about executing commands.,
Statistics,Query and Index Statistics Collector,track_activity_query_size,integer,1024,default,100 to 102400,postmaster,"Sets the size reserved for pg_stat_activity.query, in bytes.","Sets the truncation threshold of queries in pg_stat_activity (and pg_stat_statements).  Increase it if you have really long queries which are being cut off, but there is significant extra memory usage for keeping longer queries."
Statistics,Query and Index Statistics Collector,track_counts,bool,on,default,,superuser,Collects statistics on database activity.,Needed for autovacuum to work properly.  Do not turn off.
Statistics,Query and Index Statistics Collector,track_functions,enum,None,pl,"none,pl,all",superuser,Collects function-level statistics on database activity.,Set it to 'pl' to collect stats on user-defined functions.  Very useful for stored procedure performance profiling and troubleshooting.
Statistics,Query and Index Statistics Collector,track_io_timing,bool,off,default,,superuser,Collects timing statistics for database I/O activity.,Turn it on if you're monitoring disk usage per request.
Statistics,Query and Index Statistics Collector,update_process_title,bool,on,default,,superuser,Updates the process title to show the active SQL command.,Updates the process title on OSes which support this.  Very useful for checking resource usage by currently running queries.
Maintenance,Memory,maintenance_work_mem,integer,16MB,( AvRAM / 8 ) for most,1024kB to 2147483647kB,user,Sets the maximum memory to be used for maintenance operations.,"Sets the limit for the amount that autovacuum, manual vacuum, bulk index build and other maintenance routines are permitted to use.  Setting it to a moderately high value will increase the efficiency of vacuum and other operations.  Applications which perform large ETL operations may need to allocate up to 1/4 of RAM to support large bulk vacuums.  Note that each autovacuum worker may use this much, so if using multiple autovacuum workers you may want to decrease this value so that they can't claim over 1/8 or 1/4 of available RAM."
