name,p_setting,p_unit,p_cat,p_context,vartype,min_val,max_val,source,enumvals,category,subcategory,setting,type,defaults,recommendation,min,max,unit,values,context,docs,comments,version_added,version_dropped
cursor_tuple_fraction,0.1,,Query Tuning / Other Planner Options,user,real,0,1,default,,Query Tuning,Other Planner Options,cursor_tuple_fraction,real,0.1,default,0,1,,,session,"Sets the planner's estimate of the fraction of a cursor's rows that will be retrieved. The default is 0.1. Smaller values of this setting bias the planner towards using ""fast start"" plans for cursors, which will retrieve the first few rows quickly while perhaps taking a long time to fetch all rows. Larger values put more emphasis on the total estimated time. At the maximum setting of 1.0, cursors are planned exactly like regular queries, considering only the total estimated time and not how soon the first rows might be delivered.",Increase this to 0.9 if most of the time you're using cursors to step through all of the rows of a query result.,804,
data_checksums,off,,Preset Options,internal,bool,,,override,,Preset Options,,,bool,off,on,,,,,,,"This has to be set at initdb time, and does create a significant amount of extra I/O.  However, it will save you from a corrupt database down the line, so if you're not performance-constrained, always use it.",,
data_directory,/var/lib/postgresql/data,,File Locations,postmaster,string,,,override,,File Locations,,data_directory,string,ConfigDir,default,,,,,restart,Sets the server's data directory.,"Supports the ability to distribute files according to sysadmin or operating system defined schemes, or for launching multiple restart instances using the same binaries.  Most of the time, it's better to use configuration options to define these locations so that all PostgreSQL binaries default to the correct paths.",,
DateStyle,"ISO, MDY",,Client Connection Defaults / Locale and Formatting,user,string,,,configuration file,,Locale & Formatting,Display,DateStyle,list,"ISO, MDY",default,,,,,session,Sets the display format for date and time values. Also controls interpretation of ambiguous date inputs.,Should be set according to the format in which you expect to receive date information.,,
db_user_namespace,off,,Connections and Authentication / Security and Authentication,sighup,bool,,,default,,Connections and Authentication,Security and Authentication,db_user_namespace,bool,off,do not use,,,,,reload,Enables per-database user names.,"This setting is a hack to work around the lack of per-database users in PostgreSQL.  Unless you desperately need it, avoid this setting as it will eventually be replaced by something more maintainable.",,
deadlock_timeout,1000,ms,Lock Management,superuser,integer,1,2147483647,default,,Lock Management,,deadlock_timeout,time,1sec,default,1,2147483,ms,,reload,Sets the time to wait on a lock before checking for deadlock.,"Default is fine, except when you are troubleshooting/monitoring locks.  In that case, you may want to lower it to as little as 50ms.",,
debug_assertions,off,,Preset Options,internal,bool,,,default,,Developer Options,,debug_assertions,bool,off,default,,,,,session,Turns on various assertion checks. This is a debugging aid.,Used for debugging PostgreSQL code problems; not for production use.  Requires compile options.,,
debug_pretty_print,on,,Reporting and Logging / What to Log,user,bool,,,default,,Reporting and Logging,What to Log,debug_pretty_print,bool,off,on,,,,,session,Indents parse and plan tree displays.,For debugging a testing machine.  Do not set in production.,,
debug_print_parse,off,,Reporting and Logging / What to Log,user,bool,,,default,,Reporting and Logging,What to Log,debug_print_parse,bool,off,default,,,,,session,Prints the parse tree to the server log.,For debugging a testing machine.  Do not set in production.,,
debug_print_plan,off,,Reporting and Logging / What to Log,user,bool,,,default,,Reporting and Logging,What to Log,debug_print_plan,bool,off,default,,,,,session,Prints the execution plan to server log.,For debugging a testing machine.  Do not set in production.,,
debug_print_rewritten,off,,Reporting and Logging / What to Log,user,bool,,,default,,Reporting and Logging,What to Log,debug_print_rewritten,bool,off,default,,,,,session,Prints the parse tree after rewriting to server log.,For debugging a testing machine.  Do not set in production.,,
default_statistics_target,100,,Query Tuning / Other Planner Options,user,integer,1,10000,default,,Query Tuning,Other Planner Options,default_statistics_target,integer,100,varies,1,1000,,,session,Sets the default statistics target. This applies to table columns that have not had a column-specific target set via ALTER TABLE SET STATISTICS.,"Most applications can use the default of 100.    For very small/simple databases, decrease to 10 or 50.  Data warehousing applications generally need to use 500 to 1000.  Otherwise, increase statistics targets on a per-column basis.",,
default_tablespace,,,Client Connection Defaults / Statement Behavior,user,string,,,default,,Other Settings & Defaults,Default Locations,default_tablespace,string,,default,,,,,session,Sets the default tablespace to create tables and indexes in. An empty string selects the database's default tablespace.,"Change this if you want a different tablespace for user-created tables.  Generally, better set on a ROLE or session basis.",,
default_text_search_config,pg_catalog.english,,Client Connection Defaults / Locale and Formatting,user,string,,,configuration file,,Other Settings & Defaults,Text Search,default_text_search_config,string,per ENV,default,,,,,session,Sets default text search configuration.,"Set to the most common language used by the users, so that they don't have to pass the language parameter when calling TSearch functions.",,
default_transaction_deferrable,off,,Client Connection Defaults / Statement Behavior,user,bool,,,default,,Other Settings & Defaults,Statement Behavior,,bool,off,default,,,,,,,"If you use serializable transactions by default, it may be also useful to set this in order to decrease the overhead of long-running transactions.",,
default_transaction_isolation,read committed,,Client Connection Defaults / Statement Behavior,user,enum,,,default,"{serializable,""repeatable read"",""read committed"",""read uncommitted""}",Other Settings & Defaults,Statement Behavior,default_transaction_isolation,ENUM,read committed,default,,,,"serializable,repeatable read,read committed,read uncommitted",session,"Sets the transaction isolation level of each new transaction. Each SQL transaction has an isolation level, which can be either ""read uncommitted"", ""read committed"", ""repeatable read"", or ""serializable"".",Relates to transaction_isolation.  Better set on a session or transaction basis as transaction_isolation in order to support specific types of transaction conflict resolution.,,
default_transaction_read_only,off,,Client Connection Defaults / Statement Behavior,user,bool,,,default,,Other Settings & Defaults,Statement Behavior,default_transaction_read_only,bool,off,default,,,,,session,Sets the default read-only status of new transactions.,"This setting is mainly useful for preventing yourself from accidentally changing data.  It is not really a security setting, as anyone can revoke it on their own session.  Better set on a session or ROLE level.  Will show up as TRUE if you are on a replication standby.",,
default_with_oids,off,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,bool,,,default,,Version and Platform Compatibility,Previous PostgreSQL Versions,default_with_oids,bool,off,default,,,,,session,Create new tables with OIDs by default.,"Provided for consistency with 7.3 behavior.  Since this creates an OID for every row, can cause OID wraparound in large databases.",,
dynamic_library_path,$libdir,,Client Connection Defaults / Other Defaults,superuser,string,,,default,,Other Settings & Defaults,Libraries,dynamic_library_path,string,$libdir,default,,,,,superuser,"Sets the path for dynamically loadable modules. If a dynamically loadable module needs to be opened and the specified name does not have a directory component (i.e., the name does not contain a slash), the system will search this path for the specified file.",Primarily useful if you've written lots of custom C libraries for your installation and want to organize them into custom directories.,,
dynamic_shared_memory_type,posix,,Resource Usage / Memory,postmaster,enum,,,configuration file,"{posix,sysv,mmap,none}",Resource Usage,Memory,,ENUM,auto-detect,default,,,,"posix,sysv,mmap,none",,,,,
effective_cache_size,524288,8kB,Query Tuning / Planner Cost Constants,user,integer,1,2147483647,default,,Query Tuning,Planner Cost Constants,effective_cache_size,integer,65536,( AvRAM * 0.75 ),1,INT_MAX,8kB,,session,"Sets the planner's assumption about the size of the disk cache. That is, the portion of the kernel's disk cache that will be used for PostgreSQL data files. This is measured in disk pages, which are normally 8 kB each.","Tells the PostgreSQL query planner how much RAM is estimated to be available for caching data, in both shared_buffers and in the filesystem cache. This setting just helps the planner make good cost estimates; it does not actually allocate the memory.",,
effective_io_concurrency,1,,Resource Usage / Asynchronous Behavior,user,integer,0,1000,default,,Query Tuning,Other Planner Options,effective_io_concurrency,integer,1,varies,0,1000,,,internal,"Number of simultaneous requests that can be handled efficiently by the disk subsystem. For RAID arrays, this should be approximately the number of drive spindles in the array.","Set to the number of disks in your RAID array or number of I/O channels.  Available only for platforms with posix_fadvise support (i.e. Linux).  Currently only affects the execution of parallel bitmapscan, but might affect other I/O operations in future versions.",804,
enable_bitmapscan,on,,Query Tuning / Planner Method Configuration,user,bool,,,default,,Query Tuning,Planner Method Configuration,enable_bitmapscan,bool,on,default,,,,,session,Enables the planner's use of bitmap-scan plans.,For interactive session use only when troubleshooting queries.,,
enable_gathermerge,on,,Query Tuning / Planner Method Configuration,user,bool,,,default,,Query Tuning,Planner Method Configuration,,bool,on,default,,,,,,,,,
enable_hashagg,on,,Query Tuning / Planner Method Configuration,user,bool,,,default,,Query Tuning,Planner Method Configuration,enable_hashagg,bool,on,default,,,,,session,Enables the planner's use of hashed aggregation plans.,For interactive session use only when troubleshooting queries.,,
enable_hashjoin,on,,Query Tuning / Planner Method Configuration,user,bool,,,default,,Query Tuning,Planner Method Configuration,enable_hashjoin,bool,on,default,,,,,session,Enables the planner's use of hash join plans.,For interactive session use only when troubleshooting queries.,,
enable_indexonlyscan,on,,Query Tuning / Planner Method Configuration,user,bool,,,default,,Query Tuning,Planner Method Configuration,,bool,on,default,,,,,,,,,
enable_indexscan,on,,Query Tuning / Planner Method Configuration,user,bool,,,default,,Query Tuning,Planner Method Configuration,enable_indexscan,bool,on,default,,,,,session,Enables the planner's use of index-scan plans.,For interactive session use only when troubleshooting queries.,,
enable_material,on,,Query Tuning / Planner Method Configuration,user,bool,,,default,,Query Tuning,Planner Method Configuration,enable_material,bool,on,default,,,,,session,Enables the planner's use of materialization.,For interactive session use only when troubleshooting queries.,900,
enable_mergejoin,on,,Query Tuning / Planner Method Configuration,user,bool,,,default,,Query Tuning,Planner Method Configuration,enable_mergejoin,bool,on,default,,,,,session,Enables the planner's use of merge join plans.,For interactive session use only when troubleshooting queries.,,
enable_nestloop,on,,Query Tuning / Planner Method Configuration,user,bool,,,default,,Query Tuning,Planner Method Configuration,enable_nestloop,bool,on,default,,,,,session,Enables the planner's use of nested-loop join plans.,For interactive session use only when troubleshooting queries.,,
enable_seqscan,on,,Query Tuning / Planner Method Configuration,user,bool,,,default,,Query Tuning,Planner Method Configuration,enable_seqscan,bool,on,default,,,,,session,Enables the planner's use of sequential-scan plans.,For interactive session use only when troubleshooting queries.,,
enable_sort,on,,Query Tuning / Planner Method Configuration,user,bool,,,default,,Query Tuning,Planner Method Configuration,enable_sort,bool,on,default,,,,,session,Enables the planner's use of explicit sort steps.,For interactive session use only when troubleshooting queries.,,
enable_tidscan,on,,Query Tuning / Planner Method Configuration,user,bool,,,default,,Query Tuning,Planner Method Configuration,enable_tidscan,bool,on,default,,,,,session,Enables the planner's use of TID scan plans.,For interactive session use only when troubleshooting queries.,,
escape_string_warning,on,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,bool,,,default,,Version and Platform Compatibility,Previous PostgreSQL Versions,escape_string_warning,bool,on,off,,,,,session,Warn about backslash escapes in ordinary string literals.,"Useful for providing warnings for interpreted-language applications which may be engaging in unsafe string escape behavior.  Unless you are currently porting or upgrading such an application, though, these warnings are not useful and should be turned off.",,
event_source,PostgreSQL,,Reporting and Logging / Where to Log,postmaster,string,,,default,,Other Settings & Defaults,Identification,,string,NULL,set,,,,,,,Should be “postgres-1” or something else identifiable as this specific postmaster.,,
exit_on_error,off,,Error Handling,user,bool,,,default,,Other Settings & Defaults,Other Defaults,,bool,off,default,,,,,,,,,
external_pid_file,,,File Locations,postmaster,string,,,default,,File Locations,,external_pid_file,string,None,default,,,,,restart,Writes the restart PID to the specified file.,Creates an extra copy of the process ID.  Used for server administration tools which need a copy of the process ID in a specific directory.,,
extra_float_digits,0,,Client Connection Defaults / Locale and Formatting,user,integer,-15,3,default,,Locale & Formatting,Display,extra_float_digits,integer,0,default,-15,2,,,session,"Sets the number of digits displayed for floating-point values. This affects real, double precision, and geometric data types. The parameter value is added to the standard number of digits (FLT_DIG or DBL_DIG as appropriate).","Only significant for applications which do a lot of float calculations, like scientific databases.",,
force_parallel_mode,off,,Query Tuning / Other Planner Options,user,enum,,,default,"{off,on,regress}",Query Tuning,Parallel Query,,ENUM,off,default,,,,,,,,,
from_collapse_limit,8,,Query Tuning / Other Planner Options,user,integer,1,2147483647,default,,Query Tuning,Other Planner Options,from_collapse_limit,integer,8,default,1,INT_MAX,,,session,Sets the FROM-list size beyond which subqueries are not collapsed. The planner will merge subqueries into upper queries if the resulting FROM list would have no more than this many items.,"While it's probably true that newer CPUs could support higher collapse_limits, there's not much incremental benefit to just raising either collapse_limit to 10 or 11.",,
fsync,on,,Write-Ahead Log / Settings,sighup,bool,,,default,,WAL and Checkpoints,Synch to Disk,fsync,bool,on,on,,,,,reload,Forces synchronization of updates to disk. The server will use the fsync() system call in several places to make sure that updates are physically written to disk. This insures that a database cluster will recover to a consistent state after an operating system or hardware crash.,"Never turn off unless your data is entirely disposable.  Setting fsync=off is the equivalent of saying “I don't care about my data, I can recreate the database from scratch if I have to.”  If synch activity is a performance concern, see synchronous_commit.",,
full_page_writes,on,,Write-Ahead Log / Settings,sighup,bool,,,default,,WAL and Checkpoints,Synch to Disk,full_page_writes,bool,on,on,,,,,reload,"Writes full pages to WAL when first modified after a checkpoint. A page write in process during an operating system crash might be only partially written to disk.  During recovery, the row changes stored in WAL are not enough to recover.  This option writes pages when first modified after a checkpoint to WAL so full recovery is possible.","This is PostgreSQL's triple-check on transaction log integrity.  Leave it on unless you have enough in-depth knowledge of your filesystem and hardware to be certain that torn page writes of log segments are completely prevented.  Solaris/ZFS users claim to be able to turn this off, but that has not been destruction-tested.",,
geqo,on,,Query Tuning / Genetic Query Optimizer,user,bool,,,default,,Query Tuning,Genetic Query Optimizer,geqo,bool,on,default,,,,,session,Enables genetic query optimization. This algorithm attempts to do planning without exhaustive searching.,,,
geqo_effort,5,,Query Tuning / Genetic Query Optimizer,user,integer,1,10,default,,Query Tuning,Genetic Query Optimizer,geqo_effort,integer,5,default,1,10,,,session,GEQO: effort is used to set the default for other GEQO parameters.,,,
geqo_generations,0,,Query Tuning / Genetic Query Optimizer,user,integer,0,2147483647,default,,Query Tuning,Genetic Query Optimizer,geqo_generations,integer,0,default,0,INT_MAX,,,session,GEQO: number of iterations of the algorithm. Zero selects a suitable default value.,,,
geqo_pool_size,0,,Query Tuning / Genetic Query Optimizer,user,integer,0,2147483647,default,,Query Tuning,Genetic Query Optimizer,geqo_pool_size,integer,0,default,0,INT_MAX,,,session,GEQO: number of individuals in the population. Zero selects a suitable default value.,,,
geqo_seed,0,,Query Tuning / Genetic Query Optimizer,user,real,0,1,default,,Query Tuning,Genetic Query Optimizer,geqo_seed,real,0,,0,1,,,session,GEQO: seed for random path selection.,"If you set this manually, you can force repeatable execution paths for GEQO queries.",900,
geqo_selection_bias,2,,Query Tuning / Genetic Query Optimizer,user,real,1.5,2,default,,Query Tuning,Genetic Query Optimizer,geqo_selection_bias,real,2,default,1.5,2,,,session,GEQO: selective pressure within the population.,,,
geqo_threshold,12,,Query Tuning / Genetic Query Optimizer,user,integer,2,2147483647,default,,Query Tuning,Genetic Query Optimizer,geqo_threshold,integer,12,15,2,INT_MAX,,,session,Sets the threshold of FROM items beyond which GEQO is used.,"With new, faster processors it's tempting to raise the geqo_threshold a little, such as to 16 or 18.  Increasing more than that is unwise as query planning time goes up geometrically.",,
